date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2022-03-08,$21.514,4170.70,$157.44,$105.53
2022-03-07,$21.352,4201.09,$159.30,$102.95
2022-03-04,$22.936,4328.87,$163.17,$108.41
2022-03-03,$23.714,4363.49,$166.23,$111.98
2022-03-02,$24.22,4386.54,$166.56,$118.28
2022-03-01,$23.477,4306.26,$163.20,$113.83
2022-02-28,$24.385,4373.94,$165.12,$123.34
2022-02-25,$24.157,4384.65,$164.85,$121.06
2022-02-24,$23.748,4288.70,$162.74,$116.61
2022-02-23,$22.387,4225.50,$160.07,$109.76
2022-02-22,$23.39,4304.76,$164.32,$115.65
2022-02-18,$23.642,4348.87,$167.30,$113.83
2022-02-17,$24.507,4380.26,$168.88,$112.37
2022-02-16,$26.511,4475.01,$172.55,$117.69
2022-02-15,$26.495,4471.07,$172.79,$121.47
2022-02-14,$24.267,4401.67,$168.88,$114.27
2022-02-11,$23.949,4418.64,$168.64,$113.18
2022-02-10,$25.824,4504.08,$172.12,$125.77
2022-02-09,$26.705,4587.18,$176.28,$132.85
2022-02-08,$25.108,4521.54,$174.83,$128.23
2022-02-07,$24.728,4483.87,$171.66,$123.67
2022-02-04,$24.319,4500.53,$172.39,$123.60
2022-02-03,$23.948,4477.44,$172.90,$120.08
2022-02-02,$25.242,4589.38,$175.84,$122.76
2022-02-01,$24.638,4546.54,$174.61,$116.78
2022-01-31,$24.486,4515.55,$174.78,$114.25
2022-01-28,$22.84,4431.85,$170.33,$105.24
2022-01-27,$21.944,4326.51,$159.22,$102.60
2022-01-26,$22.772,4349.93,$159.69,$110.71
2022-01-25,$22.324,4356.45,$159.78,$111.13
2022-01-24,$23.372,4410.13,$161.62,$116.53
2022-01-21,$23.374,4397.94,$162.41,$118.81
2022-01-20,$24.15,4482.73,$164.51,$121.89
2022-01-19,$25.067,4532.76,$166.23,$128.27
2022-01-18,$25.903,4577.11,$169.80,$131.93
2022-01-14,$26.942,4662.85,$173.07,$136.88
2022-01-13,$26.575,4659.03,$172.19,$132.74
2022-01-12,$27.999,4726.35,$175.53,$137.47
2022-01-11,$27.817,4713.07,$175.08,$137.31
2022-01-10,$27.40,4670.29,$172.19,$132.00
2022-01-07,$27.247,4677.03,$172.17,$132.00
2022-01-06,$28.178,4696.05,$172.00,$136.23
2022-01-05,$27.604,4700.58,$174.92,$136.15
2022-01-04,$29.29,4793.54,$179.70,$144.42
2022-01-03,$30.121,4796.56,$182.01,$150.24
2021-12-31,$29.411,4766.18,$177.57,$143.90
2021-12-30,$29.586,4778.73,$178.20,$145.15
2021-12-29,$30.001,4793.06,$179.38,$148.26
2021-12-28,$30.322,4786.35,$179.29,$153.15
2021-12-27,$30.945,4791.19,$180.33,$154.36
2021-12-23,$29.64,4725.79,$176.28,$146.14
2021-12-22,$29.40,4696.56,$175.64,$143.88
2021-12-21,$29.075,4649.23,$172.99,$144.25
2021-12-20,$27.719,4568.02,$169.75,$135.80
2021-12-17,$27.801,4620.64,$171.14,$137.75
2021-12-16,$28.387,4668.67,$172.26,$138.64
2021-12-15,$30.459,4709.85,$179.30,$146.50
2021-12-14,$28.337,4634.09,$174.33,$135.60
2021-12-13,$28.161,4668.97,$175.74,$133.80
2021-12-10,$30.198,4712.02,$179.45,$138.55
2021-12-09,$30.49,4667.45,$174.56,$138.10
2021-12-08,$31.826,4701.21,$175.08,$145.24
2021-12-07,$32.427,4686.75,$171.18,$144.85
2021-12-06,$30.037,4591.67,$165.32,$139.06
2021-12-03,$30.693,4538.43,$161.84,$144.01
2021-12-02,$32.126,4577.10,$163.76,$150.68
2021-12-01,$31.435,4513.04,$164.77,$149.11
2021-11-30,$32.676,4567.00,$165.30,$158.37
2021-11-29,$33.376,4655.27,$160.24,$161.91
2021-11-26,$31.503,4594.62,$156.81,$154.81
2021-11-24,$32.674,4701.46,$161.94,$157.80
2021-11-23,$31.746,4690.70,$161.41,$149.92
2021-11-22,$31.956,4682.94,$161.02,$152.52
2021-11-19,$32.985,4697.96,$160.55,$155.41
2021-11-18,$31.675,4704.54,$157.87,$155.02
2021-11-17,$29.261,4688.67,$153.49,$151.34
2021-11-16,$30.203,4700.90,$151.00,$152.45
2021-11-15,$30.025,4682.80,$150.00,$146.49
2021-11-12,$30.39,4682.85,$149.99,$147.89
2021-11-11,$30.39,4649.27,$147.87,$146.01
2021-11-10,$29.459,4646.71,$147.92,$139.87
2021-11-09,$30.657,4685.25,$150.81,$148.92
2021-11-08,$30.804,4701.70,$150.44,$150.16
2021-11-05,$29.752,4697.53,$151.28,$136.34
2021-11-04,$29.801,4680.06,$150.96,$137.50
2021-11-03,$26.598,4660.57,$151.49,$130.53
2021-11-02,$26.401,4630.65,$150.02,$127.63
2021-11-01,$25.827,4613.67,$148.96,$125.23
2021-10-29,$25.567,4605.38,$149.80,$120.23
2021-10-28,$24.941,4596.42,$152.57,$121.16
2021-10-27,$24.451,4551.68,$148.85,$122.28
2021-10-26,$24.717,4574.79,$149.32,$122.93
2021-10-25,$23.166,4566.48,$148.64,$122.36
2021-10-22,$22.726,4544.90,$148.69,$119.82
2021-10-21,$22.692,4549.78,$149.48,$119.33
2021-10-20,$22.103,4536.19,$149.26,$116.39
2021-10-19,$22.29,4519.63,$148.76,$116.33
2021-10-18,$22.222,4486.46,$146.55,$116.43
2021-10-15,$21.862,4471.37,$144.84,$112.12
2021-10-14,$21.746,4438.26,$143.76,$111.99
2021-10-13,$20.939,4363.80,$140.91,$109.16
2021-10-12,$20.671,4350.65,$141.51,$105.04
2021-10-11,$20.695,4361.19,$142.81,$104.68
2021-10-08,$20.831,4391.34,$142.90,$105.06
2021-10-07,$21.075,4399.76,$143.29,$106.45
2021-10-06,$20.70,4363.55,$142.00,$103.64
